,Unnamed: 0,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
424,424,1.65,1.17,1.9349999999999998,1.6949999999999998,0
425,425,1.77,1.23,1.2149999999999999,1815,3
426,426,0.87,0.78,1.7249999999999999,1785,1
427,427,0.78,735,0.84,0.8099999999999999,2
428,428,1.92,1305,1.41,2.1,0
429,429,0.87,0.78,1395,1785,3
430,430,0.21,0.44999999999999996,0.9149999999999999,315,2
431,431,0.87,0.78,1845,525,1
432,432,1.3199999999999998,1005,1.5,0.9299999999999999,1
433,433,1.3499999999999999,1.02,1395,1065,1
434,434,0.21,0.44999999999999996,285,1395,2
435,435,1.14,0.9149999999999999,1.23,0.9299999999999999,2
436,436,0.78,735,0.84,1.26,2
437,437,0.78,735,0.99,1.23,2
438,438,1.26,975,1.71,1.71,1
439,439,1.3499999999999999,1.02,1845,1545,1
440,440,1.38,1035,1.38,2.07,3
441,441,0.87,0.78,1785,855,1
442,442,0.99,0.84,615,1.9349999999999998,3
443,443,1.5,1095,1.17,2.01,3
444,444,1.2,945,1.56,1.89,3
445,445,1.38,1035,0.69,1.3499999999999999,3
446,446,0.99,0.84,1.6949999999999998,1275,1
447,447,0.69,0.69,345,1155,2
448,448,0.87,0.78,1425,0.46499999999999997,2
449,449,1.26,975,1.38,1.74,3
450,450,1.08,885,1.14,1.98,3
451,451,1.47,1.08,1815,1905,0
452,452,0.84,765,1.41,0.99,2
453,453,0.84,765,0.75,1.71,3
454,454,1.17,0.9299999999999999,1875,1.7249999999999999,1
455,455,0.84,765,0.57,1.3199999999999998,2
456,456,1.26,975,0.84,1.23,2
457,457,0.84,765,1.14,1.23,2
458,458,1.26,975,2.1,1.23,1
459,459,0.84,765,1.56,1.71,3
460,460,1.74,1.2149999999999999,1.38,1.26,1
461,461,1.38,1035,1.89,2.01,0
462,462,0.96,825,1.05,1.3199999999999998,2
463,463,1.29,0.99,2085,1605,1
464,464,0.96,825,1.8599999999999999,1.7999999999999998,1
465,465,0.99,0.84,1185,1.9949999999999999,3
466,466,0.72,705,0.84,1.2,2
467,467,0.84,765,1.68,1.1099999999999999,1
468,468,0.84,765,0.42,1.56,2
469,469,1.29,0.99,1635,855,1
470,470,0.84,765,0.44999999999999996,1.7999999999999998,3
471,471,0.84,765,1.29,1.65,3
472,472,1.29,0.99,1635,1365,1
473,473,1.08,885,2.01,1.65,1
474,474,1.92,1305,1.77,2.37,0
475,475,1.6199999999999999,1155,2.04,1.5899999999999999,0
476,476,1.6199999999999999,1155,0.8099999999999999,2.1,3
477,477,1.53,1.1099999999999999,1.4549999999999998,945,1
478,478,1.08,885,0.99,0.99,2
479,479,1.38,1035,0.75,1.68,3
480,480,0.39,0.54,1305,1305,2
481,481,1.47,1.08,975,1095,3
482,482,0.96,825,1.77,1.56,1
483,483,1.17,0.9299999999999999,1.7249999999999999,1.2149999999999999,1
484,484,1.17,0.9299999999999999,2085,945,1
485,485,1.5,1095,1.77,1.29,1
486,486,1.1099999999999999,0.8999999999999999,765,1755,3
487,487,1.5899999999999999,1.14,1.4549999999999998,855,1
488,488,1.17,0.9299999999999999,1.6949999999999998,0.6749999999999999,1
489,489,1.17,0.9299999999999999,1905,1785,1
490,490,1.29,0.99,1.2149999999999999,885,1
491,491,1.17,0.9299999999999999,1875,0.6749999999999999,1
492,492,1.17,0.9299999999999999,1.9349999999999998,1755,1
493,493,1.17,0.9299999999999999,1065,1395,3
494,494,1.17,0.9299999999999999,1275,1815,3
495,495,1.5899999999999999,1.14,1665,885,1
496,496,1.17,0.9299999999999999,945,1425,3
497,497,0.96,825,1.68,0.51,1
498,498,1.41,1.05,1125,1155,3
499,499,1.17,0.9299999999999999,1.4849999999999999,1905,3
500,500,0.96,825,0.57,1.77,3
501,501,1.17,0.9299999999999999,1.7249999999999999,1845,3
502,502,1.3499999999999999,1.02,1605,945,1
503,503,1.17,0.9299999999999999,1845,855,1
504,504,1.29,0.99,1275,645,1
