,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
2264,0.15,0.20700000000000002,0.273,0.303,3
2265,0.186,0.225,0.129,0.171,2
2266,0.3,0.28200000000000003,0.15,0.156,2
2267,0.108,0.186,0.246,0.222,2
2268,0.222,0.243,0.249,0.393,3
2269,0.318,0.291,0.327,0.453,0
2270,0.18,0.222,0.258,0.20400000000000001,2
2271,0.21,0.23700000000000002,0.249,0.399,3
2272,0.15,0.20700000000000002,0.255,0.28500000000000003,3
2273,0.12,0.192,0.264,0.132,2
2274,0.15,0.20700000000000002,0.105,0.34500000000000003,3
2275,0.36,0.312,0.252,0.372,0
2276,0.17400000000000002,0.219,0.219,0.261,2
2277,0.138,0.201,0.309,0.14100000000000001,1
2278,0.17400000000000002,0.219,0.273,0.195,1
2279,0.306,0.28500000000000003,0.249,0.387,3
2280,0.156,0.21,0.3,0.28200000000000003,1
2281,0.186,0.225,0.315,0.333,3
2282,0.192,0.228,0.192,0.276,3
2283,0.17400000000000002,0.219,0.165,0.381,3
2284,0.156,0.21,0.15,0.168,2
2285,0.258,0.261,0.35100000000000003,0.225,1
