,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
7674,45,61.0,66.5,66.5,0
7675,39,58.0,30.5,54.5,3
7676,42,59.5,21.0,34.0,3
7677,68,72.5,57.0,79.0,0
7678,60,68.5,73.0,78.0,0
7679,68,72.5,40.0,34.0,0
7680,51,64.0,73.5,31.5,1
7681,47,62.0,37.5,39.5,3
7682,33,55.0,45.5,19.5,1
7683,52,64.5,66.0,45.0,0
7684,36,56.5,62.0,32.0,1
7685,43,60.0,37.5,39.5,3
7686,68,72.5,55.0,40.0,0
7687,53,65.0,35.5,73.5,0
7688,40,58.5,34.0,66.0,3
7689,48,62.5,45.0,48.0,3
7690,14,45.5,41.0,44.0,2
7691,72,74.5,85.0,70.0,0
7692,68,72.5,44.0,83.0,0
7693,47,62.0,23.5,36.5,3
7694,28,52.5,30.0,26.0,2
7695,38,57.5,31.0,38.0,3
7696,22,49.5,16.0,28.0,2
7697,45,61.0,55.5,59.5,0
7698,42,59.5,38.0,30.0,1
7699,28,52.5,21.0,21.0,2
7700,63,70.0,47.5,33.5,0
7701,33,55.0,24.5,41.5,3
7702,77,77.0,80.5,76.5,0
7703,39,58.0,23.5,35.5,3
7704,24,50.5,44.0,39.0,1
7705,39,58.0,56.5,37.5,1
7706,68,72.5,49.0,58.0,0
7707,20,48.5,11.0,12.0,2
7708,48,62.5,58.0,25.0,1
7709,44,60.5,33.0,44.0,3
7710,41,59.0,33.5,50.5,3
7711,34,55.5,46.0,46.0,3
7712,50,63.5,63.0,39.0,0
7713,36,56.5,61.0,60.0,0
7714,42,59.5,50.0,28.0,1
7715,62,69.5,52.0,78.0,0
7716,29,53.0,56.5,43.5,1
7717,58,67.5,78.0,36.0,0
7718,57,67.0,77.5,49.5,0
7719,49,63.0,47.5,37.5,1
7720,45,61.0,59.5,36.5,1
7721,16,46.5,15.0,45.0,2
7722,55,66.0,31.5,35.5,3
7723,47,62.0,24.5,46.5,3
7724,43,60.0,28.5,59.5,3
7725,43,60.0,38.5,56.5,3
7726,25,51.0,39.5,40.5,3
7727,80,78.5,90.0,78.0,0
7728,31,54.0,62.5,26.5,1
